Username;Action;Date;Success
;SELECT;2024-01-22 07:35:52;YES
juan;SELECT;2024-01-22 07:38:01;YES
;SELECT;2024-01-22 07:38:13;NO
;SELECT;2024-01-22 07:38:48;NO
juan;SELECT;2024-01-22 07:38:57;YES
;SELECT;2024-01-22 07:39:09;NO
juan;SELECT;2024-01-24 09:15:53;YES
juan;SELECT;2024-01-24 09:22:25;YES
;SELECT;2024-01-24 09:23:32;YES
;SELECT;2024-01-24 09:23:32;YES
;DELETE;2024-01-24 09:23:47;NO
;SELECT;2024-01-24 09:24:02;YES
;SELECT;2024-01-24 09:24:02;YES
;SELECT;2024-01-24 09:24:04;YES
;SELECT;2024-01-24 09:24:04;YES
;UPDATE;2024-01-24 09:24:21;NO
juan;SELECT;2024-01-24 09:24:34;NO
juan;SELECT;2024-01-24 09:25:09;YES
juan;SELECT;2024-01-24 09:25:13;YES
;SELECT;2024-01-24 09:25:16;YES
;INSERT;2024-01-24 09:25:37;NO
juan;SELECT;2024-01-24 09:44:10;YES
;SELECT;2024-01-24 09:44:21;NO
;SELECT;2024-01-24 09:49:20;NO
;SELECT;2024-01-24 09:49:52;NO
juan;SELECT;2024-01-24 09:50:00;NO
juan;SELECT;2024-01-24 09:51:05;YES
juan;SELECT;2024-01-24 09:51:17;NO
juan;SELECT;2024-01-24 09:52:51;YES
;SELECT;2024-01-24 09:52:53;YES
;SELECT;2024-01-24 09:52:53;YES
juan;SELECT;2024-01-24 09:52:58;NO
juan;SELECT;2024-01-24 09:54:22;YES
;SELECT;2024-01-24 09:54:23;YES
juan;SELECT;2024-01-24 09:54:25;YES
;SELECT;2024-01-24 09:54:27;YES
;SELECT;2024-01-24 09:54:27;YES
juan;SELECT;2024-01-24 09:54:33;NO
juan;SELECT;2024-01-24 09:57:02;YES
;SELECT;2024-01-24 09:57:04;YES
;SELECT;2024-01-24 09:57:04;YES
juan;SELECT;2024-01-24 09:57:12;NO
juan;SELECT;2024-01-24 09:58:46;YES
;SELECT;2024-01-24 09:58:49;YES
;SELECT;2024-01-24 09:58:49;YES
juan;SELECT;2024-01-24 09:58:55;NO
juan;SELECT;2024-01-24 10:00:38;YES
;SELECT;2024-01-24 10:01:03;YES
;SELECT;2024-01-24 10:01:03;YES
juan;SELECT;2024-01-24 10:04:23;NO
juan;SELECT;2024-01-24 10:04:35;NO
juan;SELECT;2024-01-24 10:09:13;NO
juan;SELECT;2024-01-24 10:10:31;NO
juan;SELECT;2024-01-24 10:11:19;NO
juan;SELECT;2024-01-24 10:15:02;YES
;SELECT;2024-01-24 10:15:04;YES
;INSERT;2024-01-24 10:15:13;NO
juan;SELECT;2024-01-24 10:15:29;YES
;SELECT;2024-01-24 10:15:31;YES
;INSERT;2024-01-24 10:15:38;NO
juan;SELECT;2024-01-24 10:17:00;YES
;SELECT;2024-01-24 10:17:05;YES
;INSERT;2024-01-24 10:18:03;NO
juan;SELECT;2024-01-24 10:19:07;YES
;SELECT;2024-01-24 10:19:08;YES
;INSERT;2024-01-24 10:19:17;NO
;INSERT;2024-01-24 10:19:56;NO
juan;SELECT;2024-01-24 10:24:18;YES
;SELECT;2024-01-24 10:24:20;YES
;SELECT;2024-01-24 10:24:20;YES
;DELETE;2024-01-24 10:24:23;YES
;SELECT;2024-01-24 10:24:23;YES
;SELECT;2024-01-24 10:24:23;YES
;DELETE;2024-01-24 10:24:30;YES
;SELECT;2024-01-24 10:24:30;YES
;SELECT;2024-01-24 10:24:30;YES
;DELETE;2024-01-24 10:24:32;YES
;SELECT;2024-01-24 10:24:32;YES
;SELECT;2024-01-24 10:24:32;YES
juan;SELECT;2024-01-24 10:25:16;YES
;SELECT;2024-01-24 10:25:18;YES
;SELECT;2024-01-24 10:25:20;YES
;SELECT;2024-01-24 10:25:20;YES
;SELECT;2024-01-24 10:25:21;YES
;SELECT;2024-01-24 10:25:21;YES
;UPDATE;2024-01-24 10:25:27;YES
;SELECT;2024-01-24 10:25:27;YES
;SELECT;2024-01-24 10:25:27;YES
juan;SELECT;2024-01-24 11:23:34;YES
juan;SELECT;2024-01-24 11:26:44;YES
juan;SELECT;2024-01-24 11:54:31;YES
juan;SELECT;2024-01-24 11:54:38;YES
juan;SELECT;2024-01-24 11:54:49;YES
juan;SELECT;2024-01-24 11:55:25;YES
juan;SELECT;2024-01-24 05:29:08;YES
;SELECT;2024-01-24 05:29:20;NO
juan;SELECT;2024-01-24 05:30:00;YES
;SELECT;2024-01-24 05:30:05;YES
;SELECT;2024-01-24 05:30:05;YES
juan;SELECT;2024-01-24 05:30:21;NO
;SELECT;2024-01-24 05:30:40;NO
juan;SELECT;2024-01-24 05:31:03;YES
;SELECT;2024-01-24 05:31:05;YES
;SELECT;2024-01-24 05:31:05;YES
juan;SELECT;2024-01-24 05:38:18;NO
juan;SELECT;2024-01-24 05:43:03;YES
;SELECT;2024-01-24 05:43:19;NO
;SELECT;2024-01-24 05:43:19;YES
;SELECT;2024-01-24 05:44:19;NO
;SELECT;2024-01-24 05:44:19;YES
juan;SELECT;2024-01-24 05:44:37;YES
;SELECT;2024-01-24 05:44:52;NO
;SELECT;2024-01-24 05:44:52;YES
juan;SELECT;2024-01-24 05:47:44;YES
juan;SELECT;2024-01-24 05:48:05;NO
juan;SELECT;2024-01-24 05:50:00;YES
;SELECT;2024-01-24 05:50:22;NO
;SELECT;2024-01-24 05:50:22;YES
juan;SELECT;2024-01-24 05:50:37;YES
;SELECT;2024-01-24 05:50:51;NO
;SELECT;2024-01-24 05:50:51;YES
juan;SELECT;2024-01-24 05:51:07;YES
;SELECT;2024-01-24 05:51:51;NO
juan;SELECT;2024-01-24 05:52:39;YES
;SELECT;2024-01-24 05:54:34;NO
juan;SELECT;2024-01-24 05:55:38;YES
;SELECT;2024-01-24 05:55:52;NO
;SELECT;2024-01-24 05:55:52;YES
juan;SELECT;2024-01-24 05:57:31;YES
;SELECT;2024-01-24 05:57:47;NO
juan;SELECT;2024-01-24 07:21:45;YES
;SELECT;2024-01-24 07:26:27;YES
;INSERT;2024-01-24 07:26:35;NO
juan;SELECT;2024-01-24 07:27:02;YES
;SELECT;2024-01-24 07:27:04;YES
;SELECT;2024-01-24 07:27:04;YES
;DELETE;2024-01-24 07:27:07;YES
;SELECT;2024-01-24 07:27:07;YES
;SELECT;2024-01-24 07:27:07;YES
;DELETE;2024-01-24 07:27:12;YES
;SELECT;2024-01-24 07:27:12;YES
juan;SELECT;2024-01-24 07:27:15;YES
;SELECT;2024-01-24 07:27:16;YES
;INSERT;2024-01-24 07:27:24;YES
;SELECT;2024-01-24 07:27:24;YES
;SELECT;2024-01-24 07:27:24;YES
;SELECT;2024-01-24 07:27:29;YES
;SELECT;2024-01-24 07:27:29;YES
;UPDATE;2024-01-24 07:27:33;YES
;SELECT;2024-01-24 07:27:33;YES
;SELECT;2024-01-24 07:27:33;YES
juan;SELECT;2024-01-24 07:27:44;YES
;SELECT;2024-01-24 07:27:50;YES
juan;SELECT;2024-01-24 07:27:52;YES
;SELECT;2024-01-24 07:27:53;YES
;SELECT;2024-01-24 07:27:54;YES
;SELECT;2024-01-24 07:27:54;YES
juan;SELECT;2024-01-24 07:27:56;YES
;SELECT;2024-01-24 07:27:56;YES
;SELECT;2024-01-24 07:27:56;YES
juan;SELECT;2024-01-24 07:29:03;YES
juan;SELECT;2024-01-25 08:56:51;YES
;SELECT;2024-01-25 08:57:33;YES
;SELECT;2024-01-25 08:57:42;NO
juan;SELECT;2024-01-25 09:00:09;YES
;SELECT;2024-01-25 09:00:11;YES
;SELECT;2024-01-25 09:00:11;YES
juan;SELECT;2024-01-25 09:00:12;YES
;SELECT;2024-01-25 09:00:32;YES
;SELECT;2024-01-25 09:00:32;YES
juan;SELECT;2024-01-25 09:00:34;NO
juan;SELECT;2024-01-25 09:03:33;YES
;SELECT;2024-01-25 09:05:18;YES
;INSERT;2024-01-25 09:05:51;NO
juan;SELECT;2024-01-25 09:08:12;YES
;SELECT;2024-01-25 09:08:44;NO
juan;SELECT;2024-01-25 09:28:39;YES
;SELECT;2024-01-25 09:28:42;YES
;INSERT;2024-01-25 09:28:52;NO
;INSERT;2024-01-25 09:29:25;NO
;INSERT;2024-01-25 09:31:03;NO
;INSERT;2024-01-25 09:31:12;NO
juan;SELECT;2024-01-25 09:32:55;YES
;SELECT;2024-01-25 09:32:56;YES
;SELECT;2024-01-25 09:32:56;YES
juan;SELECT;2024-01-25 09:32:59;YES
;SELECT;2024-01-25 09:33:00;YES
;INSERT;2024-01-25 09:33:20;NO
juan;SELECT;2024-01-25 09:37:58;YES
juan;SELECT;2024-01-25 09:38:14;YES
;SELECT;2024-01-25 09:41:03;YES
;INSERT;2024-01-25 09:41:36;NO
juan;SELECT;2024-01-25 09:41:49;YES
;SELECT;2024-01-25 09:43:31;YES
;SELECT;2024-01-25 09:43:31;YES
;SELECT;2024-01-25 09:43:35;YES
;SELECT;2024-01-25 09:43:35;YES
juan;SELECT;2024-01-25 09:44:43;YES
juan;SELECT;2024-01-25 09:44:45;YES
;SELECT;2024-01-25 09:44:48;YES
;SELECT;2024-01-25 04:32:14;YES
juan;SELECT;2024-01-25 04:33:38;YES
;SELECT;2024-01-25 04:37:09;YES
;SELECT;2024-01-25 04:37:13;YES
;SELECT;2024-01-25 04:44:41;YES
;SELECT;2024-01-25 04:44:42;YES
;SELECT;2024-01-25 04:44:50;YES
juan;SELECT;2024-01-25 04:56:13;YES
;SELECT;2024-01-25 04:57:38;YES
juan;SELECT;2024-01-25 04:57:40;YES
;SELECT;2024-01-25 04:57:41;YES
;INSERT;2024-01-25 05:01:57;NO
juan;SELECT;2024-01-25 05:02:05;YES
;SELECT;2024-01-25 05:02:07;YES
;INSERT;2024-01-25 05:02:14;NO
juan;SELECT;2024-01-25 05:02:33;YES
;SELECT;2024-01-25 05:02:35;YES
;INSERT;2024-01-25 05:02:43;NO
juan;SELECT;2024-01-25 05:03:06;YES
;SELECT;2024-01-25 05:03:10;YES
;INSERT;2024-01-25 05:03:22;NO
juan;SELECT;2024-01-25 05:04:10;YES
;SELECT;2024-01-25 05:04:11;YES
;SELECT;2024-01-25 05:04:11;YES
;SELECT;2024-01-25 05:05:42;YES
;SELECT;2024-01-25 05:05:42;YES
;UPDATE;2024-01-25 05:07:02;YES
;SELECT;2024-01-25 05:07:02;YES
;SELECT;2024-01-25 05:07:02;YES
;DELETE;2024-01-25 05:08:41;YES
;SELECT;2024-01-25 05:08:41;YES
juan;SELECT;2024-01-25 05:14:25;YES
juan;SELECT;2024-01-25 05:14:54;YES
juan;SELECT;2024-01-25 05:23:55;YES
;SELECT;2024-01-25 05:24:03;YES
juan;SELECT;2024-01-25 05:24:13;YES
;SELECT;2024-01-25 05:24:17;YES
;INSERT;2024-01-25 05:24:51;NO
juan;SELECT;2024-01-25 05:25:46;YES
;SELECT;2024-01-25 05:25:51;YES
juan;SELECT;2024-01-25 05:48:05;YES
;SELECT;2024-01-25 05:48:37;YES
;SELECT;2024-01-25 05:48:37;YES
juan;SELECT;2024-01-25 05:48:42;YES
;SELECT;2024-01-25 05:49:34;YES
;SELECT;2024-01-25 05:49:34;YES
juan;SELECT;2024-01-25 05:49:35;YES
;SELECT;2024-01-25 05:49:37;YES
juan;SELECT;2024-01-25 05:49:48;YES
;SELECT;2024-01-25 05:49:49;YES
;SELECT;2024-01-25 05:50:01;YES
;SELECT;2024-01-25 05:50:01;YES
juan;SELECT;2024-01-25 05:50:01;YES
;SELECT;2024-01-25 05:50:02;YES
juan;SELECT;2024-01-25 05:50:20;YES
;SELECT;2024-01-25 05:50:21;YES
;INSERT;2024-01-25 05:50:28;NO
juan;SELECT;2024-01-25 05:53:02;YES
;SELECT;2024-01-25 05:53:03;YES
;SELECT;2024-01-25 05:53:18;YES
;SELECT;2024-01-25 05:53:18;YES
juan;SELECT;2024-01-25 05:53:22;YES
;SELECT;2024-01-25 05:53:23;YES
;INSERT;2024-01-25 05:53:31;NO
juan;SELECT;2024-01-25 05:56:22;YES
;SELECT;2024-01-25 05:56:24;YES
;INSERT;2024-01-25 05:56:35;NO
juan;SELECT;2024-01-25 06:01:28;YES
;SELECT;2024-01-25 06:01:30;YES
;SELECT;2024-01-25 06:04:09;YES
juan;SELECT;2024-01-25 06:04:17;YES
;SELECT;2024-01-25 06:04:19;YES
;INSERT;2024-01-25 06:04:26;YES
;SELECT;2024-01-25 06:04:26;YES
;SELECT;2024-01-25 06:04:26;YES
;SELECT;2024-01-25 06:05:37;YES
;SELECT;2024-01-25 06:05:37;YES
juan;SELECT;2024-01-25 06:41:32;YES
;SELECT;2024-01-25 06:41:34;YES
juan;SELECT;2024-01-25 06:43:25;YES
;SELECT;2024-01-25 06:43:26;YES
;INSERT;2024-01-25 06:44:30;YES
;SELECT;2024-01-25 06:44:30;YES
;SELECT;2024-01-25 06:44:30;YES
juan;SELECT;2024-01-25 06:45:16;YES
;SELECT;2024-01-25 06:45:22;YES
;INSERT;2024-01-25 06:45:57;YES
;SELECT;2024-01-25 06:46:25;YES
;SELECT;2024-01-25 06:46:57;YES
juan;SELECT;2024-01-25 06:48:36;YES
juan;SELECT;2024-01-25 06:53:38;YES
juan;SELECT;2024-01-25 06:57:01;YES
;SELECT;2024-01-25 06:57:05;YES
;SELECT;2024-01-25 06:57:05;YES
juan;SELECT;2024-01-25 06:57:41;YES
;SELECT;2024-01-25 06:58:10;YES
;SELECT;2024-01-25 06:58:11;YES
juan;SELECT;2024-01-25 06:58:54;YES
;SELECT;2024-01-25 06:59:03;YES
;SELECT;2024-01-25 06:59:03;YES
juan;SELECT;2024-01-25 07:03:39;YES
;SELECT;2024-01-25 07:03:41;YES
;SELECT;2024-01-25 07:03:41;YES
;SELECT;2024-01-25 07:05:50;YES
;SELECT;2024-01-25 07:05:59;YES
juan;SELECT;2024-01-25 07:08:19;YES
;SELECT;2024-01-25 07:08:40;YES
juan;SELECT;2024-01-25 07:11:25;YES
;SELECT;2024-01-25 07:11:26;YES
;SELECT;2024-01-25 07:11:26;YES
juan;SELECT;2024-01-25 07:11:43;YES
;SELECT;2024-01-25 07:11:45;YES
;INSERT;2024-01-25 07:11:55;YES
;SELECT;2024-01-25 07:11:55;YES
;SELECT;2024-01-25 07:11:55;YES
;INSERT;2024-01-25 07:13:05;YES
;SELECT;2024-01-25 07:13:05;YES
;SELECT;2024-01-25 07:13:05;YES
;DELETE;2024-01-25 07:13:17;YES
;SELECT;2024-01-25 07:13:17;YES
;SELECT;2024-01-25 07:13:17;YES
juan;SELECT;2024-01-25 07:14:25;YES
juan;SELECT;2024-01-25 07:14:27;YES
;SELECT;2024-01-25 07:14:28;YES
;INSERT;2024-01-25 07:14:44;YES
;SELECT;2024-01-25 07:14:44;YES
;SELECT;2024-01-25 07:14:44;YES
;DELETE;2024-01-25 07:15:23;YES
;SELECT;2024-01-25 07:15:23;YES
;SELECT;2024-01-25 07:15:23;YES
juan;SELECT;2024-01-25 07:21:29;YES
juan;SELECT;2024-01-25 07:21:30;YES
juan;SELECT;2024-01-25 07:21:32;YES
;SELECT;2024-01-25 07:21:32;YES
;SELECT;2024-01-25 07:21:32;YES
juan;SELECT;2024-01-25 07:23:08;YES
;SELECT;2024-01-25 07:23:09;YES
;SELECT;2024-01-25 07:23:09;YES
;SELECT;2024-01-25 07:23:10;YES
;SELECT;2024-01-25 07:23:10;YES
juan;SELECT;2024-01-25 07:23:11;YES
juan;SELECT;2024-01-25 07:23:12;YES
juan;SELECT;2024-01-25 07:23:13;YES
;SELECT;2024-01-25 07:23:13;YES
;SELECT;2024-01-25 07:23:13;YES
;SELECT;2024-01-25 07:23:23;YES
juan;SELECT;2024-01-25 07:23:27;YES
juan;SELECT;2024-01-25 07:23:29;YES
;SELECT;2024-01-25 07:23:29;YES
;SELECT;2024-01-25 07:23:29;YES
juan;SELECT;2024-01-25 07:25:59;YES
juan;SELECT;2024-01-25 07:26:04;YES
;SELECT;2024-01-25 07:26:05;YES
;SELECT;2024-01-25 07:26:05;YES
;SELECT;2024-01-25 07:26:08;YES
;SELECT;2024-01-25 07:26:08;YES
juan;SELECT;2024-01-25 07:26:11;YES
;SELECT;2024-01-25 07:26:13;YES
;SELECT;2024-01-25 07:26:51;YES
juan;SELECT;2024-01-25 07:28:55;YES
